ID,y
1,78.5383267384
2,93.4427602298
3,78.5135686531
4,78.5026845158
5,106.346595583
8,85.2676772491
10,102.203874479
11,85.0319589348
12,105.388442866
14,91.5097751197
15,112.414468427
16,100.238289537
17,90.4567738634
19,91.5191634145
20,100.987617032
21,90.4534824635
22,112.414468427
23,95.7569803868
26,97.4728453047
28,96.4187261715
29,95.7569803868
33,95.7569803868
35,97.4656809037
41,93.7433773698
42,94.3368097324
43,116.014257074
45,103.411654225
46,103.45886703
51,94.2651424865
53,79.1529906268
55,112.133867312
56,94.0896586928
57,103.923173109
58,95.3179214302
59,102.655158986
63,112.078305219
64,94.8979515258
65,104.510423573
69,95.3394506826
71,95.328398618
72,102.684997382
73,94.9031891235
76,102.655158986
77,104.916292894
78,116.004280236
82,94.9031891235
83,104.510423573
84,94.2685246298
85,103.453974691
87,112.096767354
88,93.7433773698
89,112.083000342
91,94.0870523628
93,95.3102529851
94,104.899740779
95,94.4441663358
96,112.09752792
97,94.3548204028
98,112.133867312
99,94.0814024507
101,103.467208783
103,112.083000342
104,93.9224216745
105,111.678893519
110,95.3102554221
111,112.140965065
113,112.130988226
114,94.1924561872
115,112.34352469
117,112.083000342
120,94.332136025
121,112.089669601
122,94.3505508916
123,112.130988226
126,111.739870956
132,111.748921578
135,104.272747271
137,103.455307132
138,94.9102868762
140,94.0896586928
142,112.353998028
144,112.096767354
148,94.3161269555
149,112.096767354
155,93.7085454739
156,112.096767354
157,94.3548204028
162,112.089669601
163,95.3076252393
167,94.1900976751
172,116.014257074
179,112.130988226
180,94.343521109
181,112.078305219
182,94.8946601258
183,112.083000342
185,112.083000342
187,112.078305219
188,94.9031891235
189,94.2604468781
191,93.9247801866
192,112.812865456
193,94.2596356551
194,112.078305219
195,93.9111876159
196,112.083000342
198,95.3213688354
199,112.096767354
201,104.234495802
204,94.9102868762
205,103.642291149
206,94.1693388333
210,94.2628053903
211,103.467208783
216,112.102567728
219,116.014257074
220,93.9213986122
221,111.678893519
226,112.078305219
227,93.9153453377
228,112.096767354
230,112.096767354
231,94.3548204028
235,116.014257074
236,94.0870523628
238,112.096767354
242,104.887552795
243,94.0870523628
244,79.3510632693
245,112.114659618
247,112.133867312
248,94.279197491
249,94.3394374783
250,112.089669601
251,94.0870523628
253,116.014257074
254,94.3307171062
256,94.0967123283
257,94.3172375922
258,112.103881808
259,94.0814024507
262,79.5829255492
266,93.6843096517
267,112.133867312
272,103.448464365
273,112.083000342
275,94.3505508916
276,112.081057669
279,94.9020092182
280,104.510423573
283,94.332136025
285,112.096767354
288,112.083000342
289,102.954989602
290,104.234495802
